,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
95,1.0,Calvin Ridley,23.0,2018,10.4,3.0,70.3,68.8,75.0,64.0,465.0,125.8,91.0,821.0,367.0,5.7,12.8,1.77,9.021978021978022,2018,2
96,2.0,Courtland Sutton,22.0,2018,15.6,6.0,53.2,64.0,42.0,42.0,532.0,84.6,79.0,704.0,167.0,4.0,16.8,1.32,8.91139240506329,2018,1
97,2.0,Dante Pettis,22.0,2018,12.1,6.0,67.5,68.5,75.0,27.0,261.0,125.7,40.0,467.0,214.0,7.9,17.3,1.79,11.675,2018,0
98,2.0,Christian Kirk,21.0,2018,10.0,4.0,66.2,70.3,75.0,43.0,344.0,84.8,65.0,590.0,229.0,5.3,13.7,1.72,9.076923076923077,2018,1
99,2.0,Anthony Miller,23.0,2018,11.6,2.0,61.1,60.4,55.0,33.0,361.0,117.5,54.0,423.0,173.0,5.2,12.8,1.17,7.833333333333333,2018,0
100,2.0,James Washington,22.0,2018,17.3,1.0,44.4,49.2,47.0,16.0,381.0,73.5,36.0,217.0,55.0,3.4,13.6,0.57,6.027777777777778,2018,0
101,3.0,Michael Gallup,22.0,2018,14.4,2.0,50.0,60.3,49.0,33.0,431.0,73.2,66.0,507.0,168.0,5.1,15.4,1.18,7.681818181818182,2018,1
102,3.0,Tre'Quan Smith,22.0,2018,12.8,3.0,65.1,68.7,62.0,28.0,319.0,136.5,43.0,427.0,110.0,3.9,15.3,1.34,9.930232558139535,2018,0
103,4.0,Keke Coutee,21.0,2018,4.7,2.0,73.7,64.7,40.0,28.0,167.0,81.8,38.0,287.0,211.0,7.5,10.3,1.72,7.552631578947368,2018,0
104,4.0,Antonio Callaway,21.0,2018,14.5,3.0,55.1,64.0,71.0,43.0,490.0,74.0,78.0,586.0,233.0,5.4,13.6,1.2,7.512820512820513,2018,0
105,4.0,DaeSean Hamilton,23.0,2018,8.7,1.0,66.7,60.1,24.0,30.0,277.0,85.7,45.0,243.0,71.0,2.4,8.1,0.88,5.4,2018,0
106,4.0,J'Mon Moore,23.0,2018,5.7,0.0,66.7,53.5,10.0,2.0,55.0,78.5,3.0,15.0,7.0,3.5,7.5,0.27,5.0,2018,0
107,5.0,Justin Watson,22.0,2018,5.0,0.0,50.0,54.4,5.0,1.0,30.0,56.3,2.0,5.0,0.0,0.0,5.0,0.17,2.5,2018,0
108,5.0,Marquez Valdes-Scantling,23.0,2018,13.8,5.0,56.7,60.4,60.0,38.0,476.0,95.4,67.0,581.0,217.0,5.7,15.3,1.22,8.671641791044776,2018,0
109,6.0,Damion Ratley,23.0,2018,10.9,1.0,65.0,55.9,27.0,13.0,120.0,65.4,20.0,144.0,52.0,4.0,11.1,1.2,7.2,2018,0
110,6.0,Russell Gage,22.0,2018,10.2,0.0,60.0,58.3,22.0,6.0,32.0,78.3,10.0,63.0,21.0,3.5,10.5,1.97,6.3,2018,0
111,6.0,Equanimeous St. Brown,21.0,2018,14.4,1.0,61.8,64.3,54.0,21.0,251.0,93.8,34.0,328.0,116.0,5.5,15.6,1.31,9.647058823529411,2018,0
112,7.0,Javon Wims,23.0,2018,7.0,0.0,80.0,74.2,16.0,4.0,11.0,93.3,5.0,32.0,2.0,0.5,8.0,2.91,6.4,2018,0
113,7.0,Marcell Ateman,23.0,2018,12.0,0.0,50.0,53.5,32.0,15.0,222.0,76.3,30.0,154.0,34.0,2.3,10.3,0.69,5.133333333333334,2018,0
114,7.0,Richie James,23.0,2018,4.8,3.0,69.2,57.8,53.0,9.0,120.0,87.5,13.0,130.0,102.0,11.3,14.4,1.08,10.0,2018,0
115,7.0,Auden Tate,21.0,2018,10.8,0.0,33.3,53.5,15.0,4.0,52.0,42.4,12.0,35.0,3.0,0.8,8.8,0.67,2.9166666666666665,2018,0
116,7.0,Trey Quinn,22.0,2018,7.3,0.0,90.0,57.3,15.0,9.0,73.0,91.7,10.0,75.0,20.0,2.2,8.3,1.03,7.5,2018,0
117,1.0,Corey Coleman,22.0,2016,15.5,8.0,53.2,61.7,58.0,33.0,360.0,70.2,62.0,413.0,100.0,3.0,12.5,1.15,6.661290322580645,2016,0
118,1.0,Josh Doctson,23.0,2016,22.3,0.0,33.3,57.7,57.0,2.0,24.0,75.7,6.0,66.0,14.0,7.0,33.0,2.75,11.0,2016,0
119,1.0,Laquon Treadwell,21.0,2016,21.0,0.0,33.3,56.4,15.0,1.0,46.0,50.7,3.0,15.0,0.0,0.0,15.0,0.33,5.0,2016,0
120,2.0,Sterling Shepard,23.0,2016,9.4,8.0,63.1,66.4,32.0,65.0,610.0,88.0,103.0,683.0,261.0,4.0,10.5,1.12,6.631067961165049,2016,0
